Lot,Operation,Eqp,QTY
LOT1,OP1,EQP1,7
LOT1,OP1,EQP2,3
LOT1,OP1,EQP3,3
LOT1,OP1,EQP4,6
LOT1,OP2,EQP1,3
LOT1,OP2,EQP2,4
LOT1,OP2,EQP3,7
LOT1,OP2,EQP4,6
LOT1,OP3,EQP1,3
LOT1,OP3,EQP2,8
LOT1,OP3,EQP3,3
LOT1,OP3,EQP4,4
LOT2,OP1,EQP1,6
LOT2,OP1,EQP2,4
LOT2,OP1,EQP3,5
LOT2,OP1,EQP4,4
LOT2,OP2,EQP1,6
LOT2,OP2,EQP2,2
LOT2,OP2,EQP3,8
LOT2,OP2,EQP4,6
LOT2,OP3,EQP1,5
LOT2,OP3,EQP2,3
LOT2,OP3,EQP3,2
LOT2,OP3,EQP4,7
LOT3,OP1,EQP1,8
LOT3,OP1,EQP2,6
LOT3,OP1,EQP3,2
LOT3,OP1,EQP4,7
LOT3,OP2,EQP1,3
LOT3,OP2,EQP2,9
LOT3,OP2,EQP3,7
LOT3,OP2,EQP4,6
LOT3,OP3,EQP1,3
LOT3,OP3,EQP2,2
LOT3,OP3,EQP3,4
LOT3,OP3,EQP4,6
LOT4,OP1,EQP1,8
LOT4,OP1,EQP2,2
LOT4,OP1,EQP3,6
LOT4,OP1,EQP4,8
LOT4,OP2,EQP1,7
LOT4,OP2,EQP2,5
LOT4,OP2,EQP3,3
LOT4,OP2,EQP4,2
LOT4,OP3,EQP1,2
LOT4,OP3,EQP2,8
LOT4,OP3,EQP3,7
LOT4,OP3,EQP4,2
LOT5,OP1,EQP1,3
LOT5,OP1,EQP2,8
LOT5,OP1,EQP3,4
LOT5,OP1,EQP4,7
LOT5,OP2,EQP1,3
LOT5,OP2,EQP2,2
LOT5,OP2,EQP3,6
LOT5,OP2,EQP4,6
LOT5,OP3,EQP1,2
LOT5,OP3,EQP2,5
LOT5,OP3,EQP3,7
LOT5,OP3,EQP4,7
LOT6,OP1,EQP1,3
LOT6,OP1,EQP2,2
LOT6,OP1,EQP3,4
LOT6,OP1,EQP4,4
LOT6,OP2,EQP1,2
LOT6,OP2,EQP2,7
LOT6,OP2,EQP3,2
LOT6,OP2,EQP4,5
LOT6,OP3,EQP1,2
LOT6,OP3,EQP2,8
LOT6,OP3,EQP3,5
LOT6,OP3,EQP4,6
