DATE,GROUP,QTY
2026-01-01,D,4
2026-01-01,E,3
2026-01-01,N,2
2026-01-01,C,1
2026-01-02,D,5
2026-01-02,E,3
2026-01-02,N,2
2026-01-02,C,1
2026-01-03,D,5
2026-01-03,E,3
2026-01-03,N,2
2026-01-03,C,1
2026-01-04,D,4
2026-01-04,E,3
2026-01-04,N,2
2026-01-04,C,1
2026-01-05,D,4
2026-01-05,E,3
2026-01-05,N,2
2026-01-05,C,1
2026-01-06,D,5
2026-01-06,E,3
2026-01-06,N,2
2026-01-06,C,1
2026-01-07,D,4
2026-01-07,E,3
2026-01-07,N,2
2026-01-07,C,1
2026-01-08,D,4
2026-01-08,E,3
2026-01-08,N,2
2026-01-08,C,1
2026-01-09,D,5
2026-01-09,E,3
2026-01-09,N,2
2026-01-09,C,1
2026-01-10,D,5
2026-01-10,E,3
2026-01-10,N,2
2026-01-10,C,1
2026-01-11,D,4
2026-01-11,E,3
2026-01-11,N,2
2026-01-11,C,1
2026-01-12,D,5
2026-01-12,E,3
2026-01-12,N,2
2026-01-12,C,1
2026-01-13,D,4
2026-01-13,E,3
2026-01-13,N,2
2026-01-13,C,1
2026-01-14,D,4
2026-01-14,E,3
2026-01-14,N,2
2026-01-14,C,1
2026-01-15,D,5
2026-01-15,E,3
2026-01-15,N,2
2026-01-15,C,1
2026-01-16,D,4
2026-01-16,E,3
2026-01-16,N,2
2026-01-16,C,1
2026-01-17,D,4
2026-01-17,E,3
2026-01-17,N,2
2026-01-17,C,1
2026-01-18,D,4
2026-01-18,E,3
2026-01-18,N,2
2026-01-18,C,1
2026-01-19,D,5
2026-01-19,E,3
2026-01-19,N,2
2026-01-19,C,1
2026-01-20,D,4
2026-01-20,E,3
2026-01-20,N,2
2026-01-20,C,1
2026-01-21,D,5
2026-01-21,E,3
2026-01-21,N,2
2026-01-21,C,1
2026-01-22,D,5
2026-01-22,E,3
2026-01-22,N,2
2026-01-22,C,1
2026-01-23,D,4
2026-01-23,E,3
2026-01-23,N,2
2026-01-23,C,1
2026-01-24,D,4
2026-01-24,E,3
2026-01-24,N,2
2026-01-24,C,1
2026-01-25,D,4
2026-01-25,E,3
2026-01-25,N,2
2026-01-25,C,1
2026-01-26,D,5
2026-01-26,E,3
2026-01-26,N,2
2026-01-26,C,1
2026-01-27,D,5
2026-01-27,E,3
2026-01-27,N,2
2026-01-27,C,1
2026-01-28,D,5
2026-01-28,E,3
2026-01-28,N,2
2026-01-28,C,1
2026-01-29,D,4
2026-01-29,E,3
2026-01-29,N,2
2026-01-29,C,1
2026-01-30,D,5
2026-01-30,E,3
2026-01-30,N,2
2026-01-30,C,1
2026-01-31,D,4
2026-01-31,E,3
2026-01-31,N,2
2026-01-31,C,1
